directory,run_id,algorithm,schema_version,frames,status,comparison_eligible,replay,archive
2026-09-05_18-46-01_qos_priority,53464db9114943deb01df8c22d7ebb4b,qos_priority,1,301,legacy,False,2026-09-05_18-46-01_qos_priority/53464db9114943deb01df8c22d7ebb4b.replay.json,2026-09-05_18-46-01_qos_priority/53464db9114943deb01df8c22d7ebb4b.zip
2026-09-05_18-54-38_shortest_path,3e2e086878d34b2a9442f57dc5bc57b1,shortest_path,1,301,legacy,False,2026-09-05_18-54-38_shortest_path/3e2e086878d34b2a9442f57dc5bc57b1.replay.json,2026-09-05_18-54-38_shortest_path/3e2e086878d34b2a9442f57dc5bc57b1.zip
2026-09-08_19-34-19_shortest_path,0db3736821654266b2a1e94062699ca4,shortest_path,2,88,failed,False,2026-09-08_19-34-19_shortest_path/0db3736821654266b2a1e94062699ca4.replay.json,2026-09-08_19-34-19_shortest_path/0db3736821654266b2a1e94062699ca4.zip
2026-09-08_19-39-15_shortest_path,d4dc989dec5543c999965d8851e7a021,shortest_path,2,245,failed,False,2026-09-08_19-39-15_shortest_path/d4dc989dec5543c999965d8851e7a021.replay.json,2026-09-08_19-39-15_shortest_path/d4dc989dec5543c999965d8851e7a021.zip
2026-09-08_19-48-17_shortest_path,a213412edab84fd4a42126029bb693f6,shortest_path,2,245,failed,False,2026-09-08_19-48-17_shortest_path/a213412edab84fd4a42126029bb693f6.replay.json,2026-09-08_19-48-17_shortest_path/a213412edab84fd4a42126029bb693f6.zip
2026-09-08_19-58-24_shortest_path,27241ed67b124bec98114f5acba5c3fc,shortest_path,2,301,completed,True,2026-09-08_19-58-24_shortest_path/27241ed67b124bec98114f5acba5c3fc.replay.json,2026-09-08_19-58-24_shortest_path/27241ed67b124bec98114f5acba5c3fc.zip
2026-09-08_20-03-33_qos_priority,dac7c802b96343fb992c4ade04924066,qos_priority,2,301,completed,True,2026-09-08_20-03-33_qos_priority/dac7c802b96343fb992c4ade04924066.replay.json,2026-09-08_20-03-33_qos_priority/dac7c802b96343fb992c4ade04924066.zip
2026-09-08_20-28-45_shortest_path,336d637ad4df45aeb2bf4533187db122,shortest_path,2,301,completed,True,2026-09-08_20-28-45_shortest_path/336d637ad4df45aeb2bf4533187db122.replay.json,2026-09-08_20-28-45_shortest_path/336d637ad4df45aeb2bf4533187db122.zip
2026-09-08_20-34-51_qos_priority,3b0768e620924df4acb4437a5116e6d8,qos_priority,2,301,completed,True,2026-09-08_20-34-51_qos_priority/3b0768e620924df4acb4437a5116e6d8.replay.json,2026-09-08_20-34-51_qos_priority/3b0768e620924df4acb4437a5116e6d8.zip
2026-09-08_23-16-06_qos_priority,ae2fa33011a94446a510d1c2e9371aff,qos_priority,2,301,completed,True,2026-09-08_23-16-06_qos_priority/ae2fa33011a94446a510d1c2e9371aff.replay.json,2026-09-08_23-16-06_qos_priority/ae2fa33011a94446a510d1c2e9371aff.zip
2026-09-08_23-23-59_qos_priority,48e29b53abd1439093895721a37532b3,qos_priority,2,301,completed,True,2026-09-08_23-23-59_qos_priority/48e29b53abd1439093895721a37532b3.replay.json,2026-09-08_23-23-59_qos_priority/48e29b53abd1439093895721a37532b3.zip
2026-09-08_23-30-06_qos_priority,f68329a0f8d44976a53faf3ec0d40b33,qos_priority,2,301,completed,True,2026-09-08_23-30-06_qos_priority/f68329a0f8d44976a53faf3ec0d40b33.replay.json,2026-09-08_23-30-06_qos_priority/f68329a0f8d44976a53faf3ec0d40b33.zip
2026-09-08_23-35-33_qos_priority,8e330bbc65c94ba99210285ab964d200,qos_priority,2,301,completed,True,2026-09-08_23-35-33_qos_priority/8e330bbc65c94ba99210285ab964d200.replay.json,2026-09-08_23-35-33_qos_priority/8e330bbc65c94ba99210285ab964d200.zip
2026-09-08_23-41-08_qos_priority,53d007e38e9f44e286be973ea0d89397,qos_priority,2,301,completed,True,2026-09-08_23-41-08_qos_priority/53d007e38e9f44e286be973ea0d89397.replay.json,2026-09-08_23-41-08_qos_priority/53d007e38e9f44e286be973ea0d89397.zip
2026-09-08_23-46-15_qos_priority,d2a6cc3033184b1b99cc3c8445df401f,qos_priority,2,301,completed,True,2026-09-08_23-46-15_qos_priority/d2a6cc3033184b1b99cc3c8445df401f.replay.json,2026-09-08_23-46-15_qos_priority/d2a6cc3033184b1b99cc3c8445df401f.zip
2026-09-08_23-54-07_qos_priority,abb094f568704e428178032b33e1b6be,qos_priority,2,301,completed,True,2026-09-08_23-54-07_qos_priority/abb094f568704e428178032b33e1b6be.replay.json,2026-09-08_23-54-07_qos_priority/abb094f568704e428178032b33e1b6be.zip
